,Unnamed: 0,coIndx,category,city,region,coNm,title,career,education,contract,r_date,coID,salary,addr
133,133,38265950,데이터분석,서울,강남구,주식회사 아이애드원,블로그/sns/페이스북/바이럴마케팅-기획및관리경력직채용,경력2년,초대졸,정규직,0804,1018649275,"4,203","서울 강남구 강남대로94길 18, 5층"
134,134,38351169,데이터분석,서울,강동구,(주)도도커뮤니케이션,"암사광고기획,바이럴,SNS마케팅,퍼포먼스마케팅채용",경력무관,대졸,정규직,0723,2128184558,"3,437","서울 강동구 고덕로23길 37, 1,2,비-1층"
135,135,38409419,데이터분석,서울,강남구,주식회사 아이애드원,온라인광고대행AE신입.경력사원모집,경력무관,고졸,정규직,0904,1018649275,"4,203","서울 강남구 강남대로94길 18, 5층"
136,136,38351141,데이터분석,서울,강동구,(주)도도커뮤니케이션,"광고기획,바이럴,SNS마케팅,퍼포먼스마케팅채용",경력무관,대졸,정규직,0723,2128184558,"3,437","서울 강동구 고덕로23길 37, 1,2,비-1층"
137,137,38414484,데이터분석,서울,금천구,(주)미래아이엔씨,"디지털마케팅운영관리(서울/경력,신입)",경력무관,대졸,정규직,0904,1068193204,None,"서울 금천구 디지털로9길 68, 301호 부터 310호, 1109호 부터 1110호, 1801호 부터 1805호"
138,138,38262896,데이터분석,서울,강남구,㈜인텔리코드,"데이터분석개발정규직모집(신입,경력)",경력무관,대졸,정규직,0804,1428123607,"3,803","경기 수원시 영통구 광교로 105, 705호"
139,139,38251713,데이터분석,서울,관악구,프리윌린,데이터분석가(비즈니스분석가),경력3년,대졸,정규직,채용시,8348600713,"3,669","서울 관악구 관악로 217, 3층"
140,140,38399122,데이터분석,서울,성동구,(주)타파크로스,"소셜빅데이터분석가및마케팅기획,AE모집",경력무관,대졸,정규직,0831,2068630542,"3,653","서울 성동구 성수이로10길 14, 512호"
141,141,38369485,데이터분석,서울,강남구,(주)더원테크,빅데이터분석업무의프로그램개발자모십니다.,경력무관,대졸,정규직기간제,0825,5158150035,None,"경기 성남시 수정구 대왕판교로 815, 8층 837호"
142,142,38215768,데이터분석,서울,영등포구,(주)디에스랩글로벌,데이터분석가/데이터사이언티스트및마케터채용(신입/경력),경력무관,대졸,정규직,0725,4228801717,None,"서울 영등포구 국회대로70길 15-1, R동 510호"
143,143,38223650,데이터분석,서울,강남구,(주)앤서,빅데이터시스템구축및데이터분석엔지니어모집,경력무관,초대졸,정규직,0727,2118843136,"4,742","서울 강남구 삼성로104길 8, 6층"
144,144,38284671,데이터분석,서울,중구,주식회사 성진에이치디에스,최고의복지로함께성장할'데이터분석가'를찾습니다,경력무관,학력무관,정규직,0713,6228600629,"4,185","서울 중구 삼일대로 343, 16층 111호"
145,145,38352904,데이터분석,서울,강남구,(주)어센트코리아,SEO데이터분석(SEO무경력자지원가능)채용,경력2년,대졸,정규직,0723,1048652347,"3,748","서울 강남구 테헤란로2길 8, 5층 5호"
146,146,38193633,데이터분석,서울,강남구,(주)메큐라이크,광고데이터분석가(AdDataAnalyst)신입/경력채용,경력무관,학력무관,정규직,채용시,2118876923,"4,420","서울 강남구 삼성로 511, 16층"
147,147,38175492,데이터분석,서울,영등포구,콴텍(주),"[콴텍,금융]함께성장할금융데이터분석전문가모십니다.",경력3년,초대졸,정규직계약직,0717,1148680501,None,"서울 영등포구 여의대로 14, 14층"
148,148,38365672,데이터분석,서울,성동구,(주)제나,"뇌/맥파데이터분석,머신러닝알고리즘개발경력자모집",경력3년,대졸,정규직,0710,3208800921,"4,502","대구 달서구 성서공단로 46-17, 신기술산업지원센터 1동 모바일융합센터 4층 403호"
149,149,38372962,데이터분석,서울,마포구,데이터핏,빅데이터분석경력사원채용합니다(정규직),경력1년,학력무관,정규직,0728,6402600846,None,"서울 마포구 마포대로4나길 46, 2층 201호 E05"
150,150,38235787,데이터분석,서울,강남구,(주)엠로,"[경력직채용]신용평가모형,금융컨설팅,빅데이터분석",경력2년,대졸,정규직,0731,2208181381,"4,906","서울 영등포구 당산로41길 11, E동 5층"
151,151,38161358,데이터분석,서울,구로구,(주)나눔디지털디자인학원,빅데이터분석및빅데이터UI전문직업능력개발훈련교강사,경력1년,대졸,정규직전임,0713,6028601380,None,"서울 구로구 디지털로26길 5, 402호"
152,152,38176708,데이터분석,서울,구로구,(주)신나는세상,빅데이터분석컨설팅컨설턴트/분석가모집(PM/PL급),경력,대졸,정규직,0717,8318101057,"3,611",서울 구로구 디지털로30길 31
153,153,38170602,데이터분석,서울,강남구,㈜이씨마이너,빅데이터분석/AI솔루션개발-신입/경력모집,경력무관,대졸,정규직,0717,1088121609,"3,724","서울 강남구 도곡로 151, 3층"
154,154,38165330,데이터분석,서울,강남구,(주)토이스미스,데이터분석전문가&PM,경력2년,학력무관,정규직보충역,채용시,1138657313,"3,157","서울 강남구 논현로67길 23, 2층"
155,155,38298995,데이터분석,서울,마포구,(주)캐스팅엔,B2B데이터관리및분석전문가를모십니다.,경력무관,학력무관,정규직,0811,4238600075,"4,276","인천 부평구 대정로 66, 4층 408호"
156,156,38306558,데이터분석,서울,강남구,콘센트릭스서비스코리아(유),[디지털마케팅전문/콘센트릭스]데이터분석경력직채용,경력3년,대졸,정규직,0712,1048653370,None,
157,157,38356096,데이터분석,서울,구로구,디알엑스(주),LoL전력분석가/코치및데이터사이언티스트모집,경력무관,학력무관,정규직계약직,채용시,3528801475,None,
158,158,38308975,데이터분석,서울,강남구,(주)그루넷,2020상반기SAS빅데이터/DataAnalysis/Python/R추가인재모집,경력무관,대졸,정규직,0717,2648125337,"3,062","서울 강남구 논현로 507, 1315호"
159,159,38330560,데이터분석,서울,중구,(주)더식스데이,[돌로박스]DataAnalyst,경력무관,대졸,정규직,0817,6998100658,"2,935","서울 중구 필동로 15, 5층"
160,160,38179994,데이터분석,서울,서초구,크레돈(주),SalesDataAnalysisandOperationsAssistant(계약직1년+1년,경력,대졸,계약직,채용시,1138605455,"3,134","서울 구로구 디지털로34길 27, 507호"
161,161,38266442,데이터분석,서울,성동구,(주)시드원커뮤니케이션스,"[경력]영어권시장동향분석,자료조사및번역",경력1년,대졸,정규직,0804,1078660375,None,
162,162,38189113,데이터분석,서울,마포구,(주)매니즈,2020년하반기백엔드/DataAnalysis모집합니다,경력무관,학력무관,정규직,0719,8028701328,None,"대전 서구 월평북로 85, 520호"
163,163,38285560,데이터분석,서울,강남구,(주)트랜스코스모스코리아,"[연봉2,500만]CNC컴퍼니Dataanalyst(경력무관)",경력무관,학력무관,계약직파견직(정규직전환가능),0710,1068199659,"2,876","서울 용산구 원효로90길 11, 21층"
164,164,38380134,데이터분석,서울,금천구,(주)아이뱅크,클라우드/DataAnalysis/로그분석外정규직채용-경력사원,경력1년,대졸,정규직,0729,1168168774,"3,528","서울 금천구 가산디지털1로 145, 701호"
165,165,38175252,데이터분석,서울,금천구,(주)전략해양,"해양관측자료분석,해양수치모델링(신입,경력)모집",경력무관,대졸,정규직,0717,1198633565,None,"서울 금천구 가산디지털2로 53, 1108호"
166,166,38378336,데이터분석,서울,강남구,(주)아이소바코리아,"[외국계광고대행사]iProspect,WebDataAnalysis모집",경력3년,대졸,기간제계약직,0828,2118690498,"4,310","서울 강남구 테헤란로79길 6, ,20  9층"
167,167,38239403,데이터분석,서울,서초구,유한책임회사딜리버리히어로코리아,[Sr.Analyst]DataEngineer,경력3년,대졸,정규직,0731,2118868802,None,"서울 서초구 서초대로38길 12, 17층"
168,168,38239896,데이터분석,서울,서초구,유한책임회사딜리버리히어로코리아,[Sr.Analyst]DataScientist,경력3년,대졸,정규직,0731,2118868802,None,"서울 서초구 서초대로38길 12, 17층"
169,169,38390870,데이터분석,서울,서초구,한미금융그룹,"한미금융그룹채용(부동산매각,임대,영업,물류센터개발,PF,리츠,구조화금융,M&A,온라인마케팅)",경력무관,학력무관,정규직,0731,4158800156,None,서울 강남구 강남대로 324 역삼디오슈페리움(역삼동)
170,170,38316314,데이터분석,서울,구로구,(주)사람인에이치알,[사람인LAB]검색/추천/AI(인공지능)연구원채용,경력무관,학력무관,정규직,0712,1138600917,"4,315","서울 구로구 디지털로34길 43, 201호"
171,171,38213643,데이터분석,서울,강남구,현대글로비스㈜,현대글로비스전문인력상시채용(부문:신사업/연구소),경력,대졸,정규직,0731,1068197118,"6,148",서울 강남구 테헤란로 301
172,172,38415337,데이터분석,서울,서초구,(주)아이센스,2020년하반기신입및경력수시채용,경력무관,초대졸,정규직,0719,2108129428,"4,314",서울 서초구 반포대로28길 43
173,173,38392984,데이터분석,서울,금천구,㈜ 컴투스,[컴투스/게임빌컴투스플랫폼/게임빌]각부문별채용,경력무관,대졸,정규직기간제,0731,1088116843,None,"서울 금천구 가산디지털1로 131, A동"
174,174,38410579,데이터분석,서울,강동구,(주)제이와이피엔터테인먼트,JYP엔터테인먼트2020년3분기공개채용,경력무관,학력무관,정규직,0719,2298109576,"4,153",서울 강동구 강동대로 205
175,175,38415249,데이터분석,서울,강남구,(주)시몬스,하반기각부문신입및경력모집,경력무관,학력무관,정규직계약직,0719,1268124808,"4,454",경기 이천시 사실로 1000
176,176,38377332,데이터분석,광주,서구,(주)유탑엔지니어링건축사사무소,[유탑그룹]관리/건설/호텔직원채용공고,경력무관,학력무관,정규직,0709,4098114831,"4,957",전남 화순군 자치샘로 21-5
177,177,38347521,데이터분석,서울,금천구,(주)하미글로벌,[㈜하미글로벌]하반기각부문신입/경력정규직채용,경력무관,고졸,정규직,0731,1048637079,"3,646","서울 금천구 가산디지털1로 131, C동 12층"
178,178,38395639,데이터분석,서울,강남구,현대오토에버(주),현대오토에버경력사원대규모상시채용,경력3년,학력무관,정규직,0831,1048153190,"6,307",서울 강남구 테헤란로 510
179,179,38265950,데이터분석,서울,강남구,주식회사 아이애드원,블로그/sns/페이스북/바이럴마케팅-기획및관리경력직채용,경력2년,초대졸,정규직,0804,1018649275,"4,203","서울 강남구 강남대로94길 18, 5층"
180,180,38351169,데이터분석,서울,강동구,(주)도도커뮤니케이션,"암사광고기획,바이럴,SNS마케팅,퍼포먼스마케팅채용",경력무관,대졸,정규직,0723,2128184558,"3,437","서울 강동구 고덕로23길 37, 1,2,비-1층"
181,181,38409419,데이터분석,서울,강남구,주식회사 아이애드원,온라인광고대행AE신입.경력사원모집,경력무관,고졸,정규직,0904,1018649275,"4,203","서울 강남구 강남대로94길 18, 5층"
182,182,38351141,데이터분석,서울,강동구,(주)도도커뮤니케이션,"광고기획,바이럴,SNS마케팅,퍼포먼스마케팅채용",경력무관,대졸,정규직,0723,2128184558,"3,437","서울 강동구 고덕로23길 37, 1,2,비-1층"
183,183,38414484,데이터분석,서울,금천구,(주)미래아이엔씨,"디지털마케팅운영관리(서울/경력,신입)",경력무관,대졸,정규직,0904,1068193204,None,"서울 금천구 디지털로9길 68, 301호 부터 310호, 1109호 부터 1110호, 1801호 부터 1805호"
184,184,38262896,데이터분석,서울,강남구,㈜인텔리코드,"데이터분석개발정규직모집(신입,경력)",경력무관,대졸,정규직,0804,1428123607,"3,803","경기 수원시 영통구 광교로 105, 705호"
185,185,38251713,데이터분석,서울,관악구,프리윌린,데이터분석가(비즈니스분석가),경력3년,대졸,정규직,채용시,8348600713,"3,669","서울 관악구 관악로 217, 3층"
186,186,38399122,데이터분석,서울,성동구,(주)타파크로스,"소셜빅데이터분석가및마케팅기획,AE모집",경력무관,대졸,정규직,0831,2068630542,"3,653","서울 성동구 성수이로10길 14, 512호"
187,187,38369485,데이터분석,서울,강남구,(주)더원테크,빅데이터분석업무의프로그램개발자모십니다.,경력무관,대졸,정규직기간제,0825,5158150035,None,"경기 성남시 수정구 대왕판교로 815, 8층 837호"
188,188,38215768,데이터분석,서울,영등포구,(주)디에스랩글로벌,데이터분석가/데이터사이언티스트및마케터채용(신입/경력),경력무관,대졸,정규직,0725,4228801717,None,"서울 영등포구 국회대로70길 15-1, R동 510호"
189,189,38223650,데이터분석,서울,강남구,(주)앤서,빅데이터시스템구축및데이터분석엔지니어모집,경력무관,초대졸,정규직,0727,2118843136,"4,742","서울 강남구 삼성로104길 8, 6층"
190,190,38284671,데이터분석,서울,중구,주식회사 성진에이치디에스,최고의복지로함께성장할'데이터분석가'를찾습니다,경력무관,학력무관,정규직,0713,6228600629,"4,185","서울 중구 삼일대로 343, 16층 111호"
